'sample interval','MLII','V5'
'0.00277778 sec','mV','mV'
0,-0.145,-0.065
1,-0.145,-0.065
2,-0.145,-0.065
3,-0.145,-0.065
4,-0.145,-0.065
5,-0.145,-0.065
6,-0.145,-0.065
7,-0.145,-0.065
8,-0.12,-0.08
9,-0.135,-0.08
10,-0.145,-0.085
11,-0.15,-0.085
12,-0.16,-0.075
13,-0.155,-0.07
14,-0.16,-0.07
15,-0.175,-0.065
16,-0.18,-0.055
17,-0.185,-0.05
18,-0.17,-0.05
19,-0.155,-0.04
20,-0.175,-0.04
21,-0.18,-0.055
22,-0.19,-0.075
23,-0.18,-0.08
24,-0.155,-0.085
25,-0.135,-0.07
26,-0.155,-0.08
27,-0.19,-0.08
28,-0.205,-0.09
29,-0.235,-0.095
30,-0.225,-0.09
31,-0.245,-0.095
32,-0.25,-0.11
33,-0.26,-0.12
34,-0.275,-0.145
35,-0.275,-0.135
36,-0.275,-0.105
37,-0.265,-0.095
38,-0.255,-0.105
39,-0.265,-0.12
40,-0.275,-0.135
41,-0.29,-0.125
42,-0.29,-0.125
43,-0.29,-0.115
44,-0.29,-0.115
45,-0.285,-0.125
46,-0.295,-0.14
47,-0.305,-0.14
48,-0.285,-0.13
49,-0.275,-0.125
50,-0.275,-0.14
51,-0.28,-0.145
52,-0.285,-0.15
53,-0.305,-0.15
54,-0.29,-0.13
55,-0.3,-0.115
56,-0.28,-0.125
57,-0.29,-0.135
58,-0.3,-0.16
59,-0.315,-0.195
60,-0.32,-0.2
61,-0.335,-0.205
62,-0.36,-0.225
63,-0.385,-0.255
64,-0.385,-0.3
65,-0.405,-0.29
66,-0.455,-0.235
67,-0.485,-0.13
68,-0.485,-0.035
69,-0.425,0.05
70,-0.33,0.12
71,-0.22,0.2
72,-0.07,0.31
73,0.12,0.435
74,0.375,0.535
75,0.62,0.58
76,0.78,0.475
77,0.84,0.21
78,0.765,-0.085
79,0.52,-0.23
80,0.17,-0.25
81,-0.165,-0.215
82,-0.365,-0.18
83,-0.435,-0.185
84,-0.425,-0.16
85,-0.37,-0.15
86,-0.33,-0.15
87,-0.325,-0.18
88,-0.335,-0.18
89,-0.345,-0.16
90,-0.33,-0.165
91,-0.325,-0.17
92,-0.315,-0.165
93,-0.31,-0.185
94,-0.32,-0.185
95,-0.335,-0.185
96,-0.34,-0.17
97,-0.325,-0.16
98,-0.345,-0.155
99,-0.335,-0.175
100,-0.33,-0.195
101,-0.335,-0.185
102,-0.33,-0.185
103,-0.325,-0.175
104,-0.33,-0.175
105,-0.33,-0.195
106,-0.345,-0.19
107,-0.355,-0.18
108,-0.335,-0.165
109,-0.325,-0.17
110,-0.305,-0.17
111,-0.32,-0.17
112,-0.32,-0.19
113,-0.33,-0.185
114,-0.34,-0.18
115,-0.335,-0.17
116,-0.34,-0.175
117,-0.345,-0.19
118,-0.355,-0.2
119,-0.355,-0.195
120,-0.34,-0.185
121,-0.33,-0.17
122,-0.33,-0.17
123,-0.33,-0.185
124,-0.34,-0.195
125,-0.35,-0.175
126,-0.325,-0.2
127,-0.325,-0.185
128,-0.33,-0.18
129,-0.33,-0.185
130,-0.335,-0.205
131,-0.335,-0.19
132,-0.34,-0.18
133,-0.33,-0.185
134,-0.34,-0.2
135,-0.35,-0.215
136,-0.355,-0.205
137,-0.35,-0.21
138,-0.345,-0.2
139,-0.33,-0.185
140,-0.32,-0.205
141,-0.335,-0.2
142,-0.33,-0.21
143,-0.345,-0.205
144,-0.33,-0.185
145,-0.335,-0.185
146,-0.335,-0.2
147,-0.345,-0.215
148,-0.345,-0.225
149,-0.355,-0.22
150,-0.34,-0.2
151,-0.34,-0.2
152,-0.335,-0.215
153,-0.33,-0.225
154,-0.35,-0.235
155,-0.35,-0.245
156,-0.345,-0.24
157,-0.335,-0.24
158,-0.335,-0.24
159,-0.335,-0.245
160,-0.35,-0.26
161,-0.355,-0.26
162,-0.355,-0.265
163,-0.345,-0.265
164,-0.345,-0.28
165,-0.335,-0.285
166,-0.35,-0.295
167,-0.36,-0.295
168,-0.36,-0.3
